TIO2(WT%),AL2O3(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),SC(PPM),V(PPM),CR(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),PB(PPM),TH(PPM),U(PPM),Thickness
0.645,16.9,6.11864,5.98,3.19,0.118,2.58,3.16,0.17600000000000002,6.7,,11.0,8.0,8.0,15.0,,92.0,668.0,,134.0,7.2,4.1,862.0,23.8,48.1,,22.5,4.02,1.02,,0.81,,,,,1.83,0.064,4.1,0.7,12.0,5.6,3.1,0
1.6921331000000002,18.98220763,7.279382000000001,10.30001613,5.280010675,0.25251185,0.900187575,1.104205875,1.514068675,17.08903351,335.0680000000001,23.82,,17.96425,192.7435,149.96675,5.709379782999999,1338.716548,42.08294887,284.1270489,39.13936813,0.117735395,1477.437964,100.3221745,207.6525996,25.00426163,98.25685435,18.58382913,5.339593229,13.75381603,1.78947524,9.180376211,1.650660153,3.968803562,0.522671366,3.080052642,0.456936269,6.085802658,2.07476436,13.72818689,16.13962774,4.69000012,0
0.57,13.7,7.693289999999998,5.7,1.41,0.18,1.2,2.99,0.21,24.3,69.7,2.26,11.57,0.58,23.6,92.02,13.43,256.58,20.63,40.33,0.7440000000000001,0.509,210.43,3.759,9.14,1.484,7.228,2.306,0.779,2.7110000000000003,0.488,3.1260000000000003,0.706,2.125,,2.114,0.334,1.235,0.031,3.741,0.411,0.342,1
0.72,16.17,5.344812,5.62,3.36,,1.85,3.77,0.2,12.3,140.0,94.8,21.0,29.4,56.1,67.7,44.2,436.0,18.4,145.5,5.6,,806.0,14.2,31.5,,18.5,0.0,,,,,,,,1.4,,2.1,0.0,,4.8,0.0,0
1.91,15.08,9.53,6.83,2.6,0.21,0.62,3.91,0.34,,46.0,46.0,7.0,11.0,59.0,86.0,,286.0,,,,,156.0,,,,,,,,,,,,,,,,,,,,1
0.57,10.92,9.240946,10.81,13.49,0.17,2.54,2.3,0.52,32.0,,819.0,,330.0,,,38.0,1083.0,13.0,63.0,3.1,,454.0,19.0,,,13.0,,,,,,,,,,,,,,,,1
0.69,15.86,3.446234,2.51,1.01,0.05,4.37,3.18,0.17,6.1,69.6,1.3,9.3,5.1,,,182.0,438.0,18.2,342.0,12.6,,1186.0,49.1,108.6,,40.6,7.1,1.2,4.9,,3.3,,1.5,,1.6,,,,,21.8,,0
0.97,16.62,5.958458,6.27,3.72,0.11,1.78,3.49,0.36,,145.1,75.7,21.9,33.1,,,48.3,716.7,21.1,147.6,30.8,,772.8,48.6,90.3,10.7,38.6,6.7,2.0,5.6,0.7,3.7,0.7,1.7,0.2,1.6,0.2,,,,,,0
1.43,15.0,9.32,6.61,2.54,0.2,0.56,4.41,0.28,,106.0,106.0,22.0,9.0,39.0,106.0,,264.0,,86.0,,,88.0,,,,,,,,,,,,,,,,,,,,1
0.96,15.0,7.351366,7.18,7.81,0.12,1.8,3.0,0.21,22.78,,,,,,,51.0,497.0,17.67,147.0,9.1,0.78,440.0,29.8,58.9,6.68,26.0,4.7,1.25,4.35,0.59,3.48,0.66,1.81,0.29,1.82,0.25,5.2,0.61,8.5,7.7,1.2,0
1.35,16.4,6.38858,5.68,3.23,0.09,2.87,4.3,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
0.61,15.09,4.472006,4.28,2.79,0.09,2.47,2.85,0.18,,79.0,45.0,15.0,28.0,22.0,47.0,91.0,401.0,18.0,134.0,9.0,7.0,470.0,25.0,,,25.0,1.0,,,,,,,,,,,,19.0,17.0,4.0,0
1.43,17.09,6.802488,6.5,3.36,0.1,2.05,5.16,0.61,,184.0,50.0,,30.0,,,33.0,1171.0,14.0,192.0,21.0,,1174.0,51.5,102.0,12.0,41.4,7.3,2.02,5.9,0.7,3.4,0.6,1.5,,1.1,0.16,,,10.0,3.3,0.7,0
0.63,15.52,4.552988,4.76,2.93,0.09,2.52,3.45,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
0.85,16.57,6.8384800000000014,6.76,4.73,0.12,1.75,3.88,0.22,17.3,174.23,162.36,24.52,63.59,,,41.84,584.33,16.49,139.29,4.48,,723.93,17.78,35.32,,18.61,3.87,1.15,3.48,,2.74,,1.31,,1.47,,,,,5.8,,0
1.19,18.17,9.804492,10.2,3.89,0.18,1.15,2.92,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0.87,18.26,8.42,8.81,3.23,0.17,1.14,3.15,0.18,17.5,246.0,8.0,,4.0,,,21.5,341.0,26.6,98.0,2.2,0.688,226.0,9.1,20.0,2.98,13.8,3.85,1.19,4.54,0.78,4.96,1.05,2.95,0.44,2.8,0.45,2.39,0.14,1.29,1.3,0.639,1
0.86,16.55,6.7125080000000015,6.68,4.78,0.12,1.67,3.88,0.22,17.2,176.0,146.0,25.0,63.0,,,43.5,594.0,16.0,131.0,5.25,,740.0,18.2,37.0,,20.0,4.1,1.12,3.6,,2.8,,1.7,,1.41,,,,,5.8,,0
1.4,15.99,13.622972,3.64,3.77,0.22,1.38,5.91,0.09,35.0,517.0,2.0,,13.0,13.0,168.0,,117.0,30.0,62.0,,,98.0,,,,,,,,,,,,,,,,,,,,1
0.84,18.75,6.38858,6.89,3.74,0.13,2.34,2.86,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
0.29,10.85,9.87,9.36,12.05,0.18,0.48,1.48,0.05,48.0,247.0,729.0,,150.0,,,7.0,177.0,9.0,18.0,1.0,,108.0,,,,,,,,,,,,,,,,,,,,1
0.48,14.82,3.050322,3.49,1.51,0.06,3.96,3.09,0.13,,,34.0,,10.0,,,166.0,321.0,15.0,141.0,12.0,,654.0,,,,,,,,,,,,,,,,,,28.0,,0
0.91,17.09,5.686736,4.73,2.25,0.08,3.33,2.83,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
0.234,13.68,1.3,1.17,0.27,0.046,4.58,3.37,0.036000000000000004,2.2,20.0,0.0,,4.0,,,163.1,182.0,10.58,174.0,11.86,,1052.0,23.3,43.52,4.58,15.89,3.0,0.54,2.22,0.35,2.02,0.4,1.11,0.18,1.14,0.19,5.43,1.73,24.79,19.44,8.17,0
0.59,15.09,8.697236,11.29,6.08,0.14,0.35,2.34,0.11,,271.0,164.0,,49.0,,,14.0,111.0,5.0,28.0,52.0,,,,,,,,,,,,,,,,,,,,,,1
1.2,14.6,7.3,6.5,2.6,0.23,2.0,3.3,0.39,29.0,,10.0,27.0,12.0,237.0,,34.0,299.0,33.0,112.0,3.4,1.4,428.0,12.0,26.24,4.06,18.18,5.22,1.53,5.64,0.94,6.04,1.24,3.65,0.55,3.68,0.54,3.3,,7.2,1.4,0.7,1
0.82,16.89,6.02866,6.38,3.68,0.1,1.9,3.95,0.2,16.0,160.0,56.0,20.5,26.0,,,52.0,580.0,14.2,128.0,5.2,,830.0,17.0,34.0,,18.0,,1.05,,,2.5,,1.4,,1.25,,,,,6.2,,0
1.29,15.63,5.76,5.64,4.22,0.09,3.49,3.62,,12.4,,159.0,20.6,66.0,,,,,,,,22.0,595.0,49.7,96.8,,40.4,8.14,1.62,,0.713,,,,,1.38,0.172,4.9,3.1,,13.5,8.0,0
0.96,14.45,10.61431,11.67,8.27,0.22,0.0,2.09,0.07,44.0,312.0,145.0,46.0,60.0,152.0,57.0,0.0,64.0,36.0,46.0,,,,1.7,4.9,0.8,5.7,,0.7,2.9,0.5,4.7,1.0,2.7,0.4,2.5,0.4,1.3,,,,,1
0.64,16.01,4.687958,5.61,4.64,0.11,1.94,2.25,0.22,16.94,,,,,,,64.0,553.0,,126.0,9.0,3.33,1162.0,20.41,39.71,,20.41,3.76,1.06,,0.41,,,,,1.51,0.21,3.72,,,11.32,6.33,0
1.12,14.07,11.03968,8.24,3.69,0.23,0.31,3.12,0.2,,,,,15.0,,,3.0,141.0,35.0,80.0,3.0,,,,,,,,,,,,,,,,,,,,,,1
0.8,16.47,5.677738,5.8,3.55,0.1,2.09,4.25,0.21,12.37,130.76,100.68,15.96,40.04,,,,559.57,15.72,152.86,,,835.68,,,,,,,,,,,,,,,,,,,,0
0.206,13.581,2.8055764,1.348,0.442,0.043,5.079,3.792,0.085,,,,,,,,,,,203.0,,,,,,,,,,,,,,,,,,,,,,,0
0.89,16.55,6.676516,6.6,4.52,0.11,1.75,3.9,0.25,17.0,175.0,145.0,26.0,63.0,,,45.0,586.0,17.0,148.0,6.3,,800.0,18.8,37.0,,20.0,4.2,1.13,3.6,,3.05,,1.7,,1.5,,,,12.66131252,6.05,1.966635168,0
0.78,16.09,7.988397999999999,10.46,10.84,0.15,1.29,1.97,0.14,43.0,249.0,480.0,31.0,100.0,,84.0,,600.0,16.0,82.0,2.4,,210.0,28.0,40.0,,26.0,5.09,1.25,4.35,,3.5,0.69,1.48,,1.49,0.22,2.4,0.15,,4.4,,0
0.77,16.8,6.92846,6.85,4.6,0.11,0.95,3.78,0.16,19.2,178.0,133.0,26.0,47.0,,,17.0,515.0,13.5,101.0,4.1,,435.0,11.0,22.5,,13.0,2.9,0.93,3.0,,2.5,,1.3,,1.24,,,,,2.0,,0
0.5410120110000001,14.6113467,2.67529434,2.257568709,0.464586523,0.030167956,4.559383754,3.113333062,0.16290696300000002,5.9271,,19.7,5.442,3.3388,,,224.0,277.0,12.0,211.0,14.0,10.359000000000002,592.0,45.1788,91.6596,,32.95,6.4245,0.996,,0.631,,,,,1.04535,0.135,,1.5730000000000002,,23.4548,8.7175,0
0.68,15.46,5.67,6.04,4.98,0.1,2.05,2.46,0.22,,,,,81.0,51.0,67.0,61.0,531.0,12.0,128.0,6.0,,1032.0,15.0,39.0,,,,,,,,,,,,,,,,,,0
1.52,14.17,11.66,11.54,6.88,0.17,0.06,2.71,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0.38,16.2,4.3280379999999985,4.75,2.16,0.08,1.82,4.16,0.14,10.0,110.0,43.0,15.0,22.0,,,43.0,520.0,8.3,76.0,2.9,,900.0,12.7,22.5,,11.0,2.2,0.62,2.05,,1.4,,0.8,,0.71,,,,,3.4,,0
0.59105248,18.088244,3.878684071,5.27871008,1.28401056,0.06114336,2.28268544,4.59594256,0.23438288,,10.0,,7.5,0.0,0.0,75.0,50.8,888.0,8.0,126.0,5.0,1.0,776.0,24.5,48.5,5.8,21.5,3.9,1.0,3.0,0.4,2.2,0.3,1.0,0.1,1.0,0.1,3.0,0.0,10.0,6.0,1.5,0
0.53,15.9,4.58898,4.86,2.19,0.08,1.51,4.16,0.15,9.9,104.0,36.0,13.0,14.5,,,19.5,420.0,10.4,83.0,3.4,,590.0,11.8,23.5,,12.7,2.7,0.78,2.5,,1.9,,0.95,,0.88,,,,,2.5,,0
0.71,15.8,4.193068,4.02,2.06,0.08,3.42,3.98,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
0.99,16.2,5.57876,5.4,2.78,0.1,3.34,3.66,0.34,,157.0,30.0,,,,,92.0,680.0,18.0,223.0,10.0,,1187.0,46.7,91.2,11.0,35.1,6.8,1.6,5.6,0.7,3.6,0.7,1.8,,1.5,0.21,,,11.0,10.4,2.1,0
0.38,16.6,4.481004,4.96,2.34,0.08,1.78,4.22,0.13,11.0,110.0,37.0,14.0,24.0,,,38.0,535.0,9.1,84.0,2.6,,805.0,11.8,21.5,,10.7,2.2,0.62,2.0,,1.5,,0.85,,0.81,,,,,3.0,,0
0.7,15.4,5.3495,6.3,4.9,0.09,2.3,2.9,0.16,60.0,175.0,230.0,30.0,210.0,65.0,,155.0,400.0,12.0,200.0,,,490.0,,,,,,,,,,,,,,,,,,,,0
0.6,14.6,10.720462,9.46,4.5,0.18,0.57,2.01,0.09,33.0,402.0,,,,111.0,80.0,5.2,207.0,14.1,37.0,0.44,0.21,137.0,1.61,4.55,0.79,4.38,1.53,0.56,2.24,0.35,2.71,0.55,2.01,0.28,1.71,0.28,,,,0.21,0.18,1
0.67266,15.6853,4.301340934,2.6058,1.3837,0.04444,4.78033,4.2117,0.30199000000000004,5.256,47.76,27.85,6.352,12.52,12.8,63.14,219.8,419.1,13.86,,18.3,7.067,932.6,60.22,122.5,14.39,54.31,8.798,1.685,5.819,0.701,2.9535,0.481,1.0705,0.156,0.8285,0.117,,1.509,19.73,19.28,5.072,0
0.4,14.45,6.078638,8.44,7.76,0.11,0.76,2.6,0.09,,160.0,313.0,,134.0,,,5.0,198.0,15.0,60.0,,,17.0,,,,,,,,,,,,,,,,,,,,1
1.08,16.55,8.35,11.62,7.12,0.18,0.23,2.93,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0.51,17.37,8.838018,5.12,2.15,0.07,1.53,4.71,0.18,11.0,112.0,51.0,,29.0,,,27.3,540.0,10.4,94.0,2.9,,570.0,11.8,23.0,,12.5,2.5,0.79,2.5,,1.85,,0.95,,0.9,,,,,2.2,,0
0.99,17.6,6.9893800000000015,6.3,3.6,0.13,1.7,4.1,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
0.96,15.93,9.276938,11.29,6.5,0.17,0.17,2.11,0.08,34.0,376.0,116.0,35.0,55.0,90.0,85.0,0.0,108.0,23.1,47.2,0.69,,40.7,1.91,6.13,1.08,6.17,2.24,0.86,2.9,0.56,3.86,0.86,2.32,0.36,2.65,0.44,1.41,0.04,1.3,0.08,0.08,1
0.84,14.81,9.267056,11.85,10.6,0.19,0.64,1.97,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0.85,16.1,4.3280379999999985,4.14,1.9,0.064,3.25,4.6,0.324,,118.0,50.0,23.0,13.0,19.0,78.0,105.0,492.0,20.0,163.0,11.0,,647.0,,,,,,,,,,,,,,,,,,,,0
0.73,15.85,6.730503999999999,7.36,5.08,0.12,1.41,3.46,0.24,22.0,186.0,132.0,26.0,57.0,,,30.0,872.0,17.3,125.0,4.2,,800.0,33.5,63.0,,31.5,5.95,1.48,4.05,,2.9,,1.6,,1.5,,,,,9.2,,0
1.14,13.94,12.014712,10.69,7.58,0.22,0.11,2.13,0.09,46.0,400.0,142.0,49.0,60.0,141.0,118.0,0.0,77.0,32.0,68.0,,,,2.4,6.7,1.0,6.9,1.9,0.8,3.2,0.5,5.5,1.0,2.8,0.5,2.7,0.5,1.1,,,,,1
0.71,18.3,9.38,8.07,5.36,0.21,0.2,2.58,0.08,,181.0,,,49.0,,,1.0,115.0,26.0,42.0,2.0,,37.0,,,,,,,,,,,,,,,,,,,,1
1.53,15.95,8.99,10.6,6.35,,0.33,3.25,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1.01,14.85,11.481448,8.38,4.12,0.26,0.2,3.87,0.07,37.0,229.0,28.0,,24.0,,97.0,,213.0,24.0,63.0,,,112.0,,,,,,,,,,,,,,,,,,,,1
0.265,13.368,2.8829592,1.456,0.525,0.061,4.896,3.862,0.086,,,,,,,,,,,197.0,,,,,,,,,,,,,,,,,,,,,,,0
1.04,14.45,10.35,8.87,4.4,0.21,0.61,2.81,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0.49,15.2,9.49289,11.2,6.19,0.18,0.4,1.58,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0.75,16.2,4.99389,5.19,2.48,0.1,2.79,2.89,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
0.93,15.67,11.398698,10.47,5.53,0.23,0.77,2.78,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0.84,16.6,13.839462,6.99,3.59,0.22,1.89,3.76,0.31,16.0,163.0,103.0,,55.0,,,46.0,785.0,15.5,133.0,8.2,,1050.0,27.0,51.0,,26.5,5.3,1.36,3.9,,3.0,,1.5,,1.32,,,,,6.3,,0
1.012,16.837,5.2116416,4.887,2.31,0.076,2.988,4.66,0.455,10.0,121.0,25.0,11.0,17.0,61.0,94.0,70.0,886.0,12.2,279.0,11.8,,1342.0,46.0,95.0,,44.0,,,,,,,,,,,,,12.0,4.0,,0
0.7,14.08,10.12275,10.72,6.8,0.19,0.45,1.77,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0.96,16.22,5.59,5.83,3.46,0.09,2.6,3.54,0.26,14.0,144.0,69.0,19.0,37.0,31.0,85.0,119.0,567.0,19.3,200.0,12.9,,518.0,39.0,73.0,,34.7,7.0,,,,,,,,3.0,,4.8,,13.4,22.1,5.4,0
1.83,15.35,12.656276,9.51,5.89,0.19,0.89,2.38,0.13,38.0,178.0,303.0,44.0,55.0,108.0,114.0,25.0,212.0,23.0,100.0,0.0,,150.0,6.4,14.0,2.0,10.0,3.2,1.0,3.1,0.6,4.6,0.8,2.1,0.3,2.1,0.3,2.2,0.5,,0.0,0.9,1
0.63,16.21,7.42335,8.1,5.2,0.13,0.84,3.54,0.13,25.78147004,200.0530282,108.9432683,27.96723707,42.53052447,,,8.34750506,441.7987559,13.64794967,70.53755947,2.227027244,,392.7715909,7.665980318,18.11321557,,8.962715491,2.235715389,0.559388267,2.2704265930000003,,2.253421371,,1.086565802,,1.320427884,,,,,1.005069013,,0
0.68,16.01,5.5517660000000015,5.89,4.41,0.1,2.07,4.01,0.2,17.0,145.0,270.0,25.3,43.0,50.0,91.0,67.31,655.0,14.7,138.0,6.27,,690.0,20.93,41.13,5.12,20.12,3.93,0.99,3.16,0.49,2.7,0.55,1.53,0.23,1.49,0.24,3.7,0.4,16.95,5.24,1.01,0
0.92,15.8,6.51451,2.44,3.45,0.14,6.19,2.33,0.34,,169.0,76.0,,18.0,,,71.0,307.0,12.7,135.0,13.0,,525.0,35.0,63.0,,,5.7,1.0,,,,,,,2.4,,3.8,,,2.4,,0
1.5,17.28,7.549322,6.8,4.6,0.1,2.13,3.73,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
0.53,15.75,4.579982,5.13,2.25,0.08,1.32,4.0,0.15,11.0,105.0,38.0,13.5,15.0,,,28.0,420.0,10.5,87.0,3.6,,600.0,11.8,24.0,,12.5,2.8,0.8,2.45,,2.0,,1.0,,0.92,,,,,2.5,,0
0.365,12.6,2.213508,0.54,0.28,0.106,5.01,3.94,0.069,,249.0,135.0,51.0,49.0,45.0,101.0,37.0,961.0,30.0,188.0,12.0,,963.0,,,,,,,,,,,,,,,,,,,,0
0.63,15.39,4.7,4.96,3.36,0.08,2.55,4.3,0.22,,,,,45.0,35.0,61.0,82.0,523.0,12.0,146.0,7.0,,1230.0,17.0,43.0,,,,,,,,,,,,,,,,,,0
1.47,15.56,9.3,10.43,6.57,,0.36,3.4,0.17,,,,,,,,3.93,182.0,,,,,75.2,,16.1,,12.3,3.82,1.38,,,5.6,,3.48,,3.27,0.5,,,,,,1
0.919,17.119,5.348,4.098,0.773,0.028,3.822,3.3560000000000003,0.334,13.24,,25.64,8.81,5.33,,,141.0,594.9,21.0,204.0,25.0,10.98,715.9,55.16,102.1,,43.3,8.06,1.654,,0.873,,,,,2.17,0.273,4.99,2.139,17.0,14.93,5.63,0
0.88,17.0,6.8384800000000014,7.0,4.9,0.12,1.54,4.01,0.26,16.4,185.0,155.0,26.0,60.0,,,35.0,700.0,15.0,117.0,5.3,,740.0,17.0,36.0,,20.0,3.7,1.15,,,2.7,,1.4,,1.24,,,,,4.0,,0
1.34,16.18,9.94279,11.97,6.83,0.18,0.16,2.88,0.09,42.2,241.0,292.0,66.2,55.9,80.6,72.7,2.59,170.0,26.1,83.2,3.1,0.032,30.9,4.2,11.7,1.93,9.89,3.16,1.23,4.15,0.732,4.91,1.05,3.0,0.444,2.89,0.433,2.25,,0.685,0.282,0.086,1
1.45,14.18,11.490446,11.35,6.84,0.2,0.07,2.77,0.11,52.0,397.4,182.0,,71.7,,,0.0,85.7,39.4,88.2,1.9,,10.0,2.31,9.14,,10.9,3.98,1.4,,1.07,,1.5,,,4.01,0.64,2.56,0.0,,0.0,,1
0.58,16.95,9.615452,11.23,4.85,0.16,0.49,1.74,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0.57,16.7,5.48878,6.05,2.73,0.1,1.14,3.68,0.15,13.8,135.0,50.0,15.0,11.0,,,21.0,450.0,14.0,85.0,2.9,,560.0,8.3,18.0,,11.0,,0.75,,,2.2,,1.3,,1.125,,,,,,,0
0.66,16.8,6.61353,7.65,4.57,0.11,0.82,3.7,0.18,21.3,180.0,130.0,28.0,40.0,,,11.3,460.0,15.9,80.0,2.4,,430.0,7.9,16.5,,11.0,1.8,0.75,2.7,,2.5,,1.5,,1.375,,,,,1.0,,0
0.32,16.48,9.98778,11.35,6.35,0.18,0.18,1.12,0.02,46.35,,,71.31,24.25,,,2.4,126.7,8.21,11.88,0.7,0.07,57.21,1.19,2.69,0.39,1.95,0.7,0.28,1.04,0.2,1.27,0.29,0.9,0.13,0.91,0.14,0.39,,1.01,0.2,0.1,1
1.25,17.0,6.091646,6.02,2.93,0.085,2.54,5.02,0.56,11.7,,118.0,,30.0,,,,765.0,,,,7.1,841.0,61.8,128.3,,55.0,9.21,1.99,,0.8079999999999999,,,,,1.63,0.205,6.2,1.8,,11.8,3.0,0
0.81,16.95,5.9386800000000015,6.12,3.56,0.1,1.89,4.04,0.21,,,80.0,,32.0,,,48.4,620.0,,,,,,18.6,,,,,,,,,,,,1.29,,,,,,,0
0.61,15.03,9.24,11.3,6.9,,0.48,1.84,,36.0,253.0,52.0,40.0,47.0,126.0,63.0,6.9,186.0,12.1,24.0,1.14,0.14,71.0,2.7,6.4,1.01,4.9,1.6,0.59,2.1,,2.3,,1.5,0.21,1.5,0.23,0.78,0.073,1.05,0.31,0.136,1
0.59,15.85,5.3718059999999985,5.4,2.69,0.09,1.24,4.04,0.15,13.3,125.0,52.0,17.0,19.0,,,24.5,419.0,10.9,94.0,3.6,,560.0,9.7,20.0,,11.0,2.5,0.77,2.6,,1.9,,0.95,,0.88,,,,,2.1,,0
0.58,13.59,7.73828,5.62,1.51,0.18,1.15,2.94,0.25,26.17888421,115.3629968,1.981542573,14.11347018,,43.17445973,99.37252846,15.817870499999998,323.60926960000006,20.34827164,41.67290143,0.826533801,0.5469101239999999,238.0655925,4.254256945,10.36518003,1.613841733,7.912789275,2.487479568,0.825145499,3.005358462,0.5180686729999999,3.4432805710000003,0.7529964370000001,2.20496657,0.337938159,2.358898019,0.359178674,1.43629581,0.05127131,3.774749753,0.455772669,0.39075159,1
0.76,15.28,10.329704,10.47,5.79,0.18,0.51,2.01,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0.92,18.67,9.423008,10.84,3.86,0.15,0.21,1.87,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1.03,17.07,7.954232000000001,7.83,5.53,0.13,1.36,3.73,0.26,20.0,212.0,127.0,30.0,65.0,,,26.0,668.0,17.8,121.0,6.1,,575.0,17.4,36.0,,20.5,4.5,1.3,4.2,,3.15,,1.75,,1.56,,,,,4.0,,0
0.72,16.77,4.66,5.0,2.96,0.08,2.95,3.37,0.18,,,101.0,,25.0,,,95.0,443.0,15.39,201.0,11.8,3.61,711.0,38.37,63.22,7.47,28.44,5.11,0.99,4.28,0.54,3.19,0.56,1.68,0.2,1.34,0.19,5.15,0.89,16.56,20.87,4.03,0
2.12,16.67,11.136474,11.42,6.97,0.2,0.24,2.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1.02,16.86,8.01,11.51,7.35,0.16,0.24,2.86,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1.0,15.47,9.84,11.58,6.58,0.19,0.125,2.29,0.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
